DTA009	T10798	T11276
DTA018	T11222	T11723
DTA019	T10739	T11269
DTA021	T10741	
DTA025	T10911	T11959
DTA026	T10783	T11406
DTA031	T10820	T11426
DTA034	T11011	T11772
DTA036	T10844	T11503
DTA039	T10740	T11316
DTA040	T10758	
DTA041	T10759	T11295
DTA042	T10760	T11317
DTA043	T10784	T11019
DTA044	T10785	T11427
DTA045	T10799	T11476
DTA046	T10800	T11862
DTA048	T10818	T11364
DTA049	T10842	T11671
DTA050	T10817	T11504
DTA051	T10819	T11241
DTA052	T10821	T11853
DTA054	T10831	T11278
DTA055	T10833	T11277
DTA056	T10834	
DTA057	T10832	T11279
DTA058	T10963	T11446
DTA061	T10841	T11485
DTA063	T10843	T11265
DTA067	T10932	T11468
DTA068	T10933	T11487
DTA070	T10934	T11486
DTA071	T10957	T11581
DTA072	T10959	T11465
DTA073	T10958	T11528
DTA075	T10962	T11385
DTA076	T10984	T11594
DTA077	T10985	
DTA078	T10992	T12203
DTA079	T10996	T11464
DTA080	T11009	T11527
DTA081	T11010	T11647
DTA082	T11015	T11475
DTA083	T11016	T11724
DTA084	T11018	T11445
DTA085	T11054	T11610
DTA086	T11027	T11751
DTA088	T11041	T11960
DTA089	T11043	T11625
DTA093	T11042	T11691
DTA094	T11032	T11294
DTA095	T11030	T11897
DTA096	T11031	T12204
DTA097	T11056	T11644
DTA098	T11055	T11474
DTA099	T11158	T12185
DTA100	T11109	
DTA101	T11110	T11645
DTA102	T11108	T11921
DTA103	T11112	T11946
DTA104	T11113	T11266
DTA105	T11128	T11773
DTA106	T11129	T11822
DTA107	T11157	T11405
DTA108	T11159	T11477
DTA109	T11174	T11679
DTA110	T11173	T11883
DTA111	T11175	
DTA112	T11185	
DTA114	T11186	T11692
DTA115	T11195	T11792
DTA116	T11240	
DTA117	T11196	T11793
DTA118	T11221	T11831
DTA120	T11239	T12132
DTA121	T11264	
DTA122	T11293	T11810
DTA123	T11299	T11363
DTA125	T11318	T11790
DTA126	T11339	
DTA127	T11338	
DTA129	T11342	T11947
DTA130	T11343	
DTA131	T11365	T11907
DTA132	T11384	T12002
DTA133	T11411	T11894
DTA135	T11425	T11811
DTA137	T11440	T12045
DTA139	T11529	T11971
DTA140	T11556	T11851
DTA141	T12040	T12089
DTA142	T11560	T12003
DTA143	T11593	T11936
DTA144	T11582	T12058
DTA145	T11609	T12179
DTA146	T11643	T12059
DTA147	T11662	T11972
DTA148	T11670	T11821
DTA149	T11708	T12120
DTA150	T11707	T12121
DTA151	T11709	
DTA152	T11752	T12041
DTA153	T11771	T12057
DTA154	T11791	T12042
DTA155	T11832	T12101
DTA156	T11868	T12119
DTA157	T11869	T12100
DTA158	T11876	T12079
DTA159	T11875	T12080
DTA161	T11885	
DTA162	T11934	T12027
DTA163	T11906	T12186
DTA164	T11920	T12025
DTA165	T11935	T12064
DTA168	T12065	T12081
DTA169	T12188	T12284
DTA000	T10660	
